BaseParagraphTopic,TargetParagraphTopic,Is Analogy
Describe the life cycle of a plant(532),What causs a volcano to erupt?(920),No
How do bees pollinate plants?(745),How do forests form?(1217),No
How does the body control its blood sugar level?(555),What happens during photosynthesis?(113),No
Describe the life cycle of a bird(635),Describe the steps in launching a satelite into space.(1061),No
Describe the life cycle of a bird(636),Describe the life cycle of a plant.(1106),Far analogy
How is a white dwarf star formed?(1095),Describe the life cycle of a fish(518),No
How do you make wine?(557),Describe the process of recycling an aluminum can(699),No
How do rings form inside the trunk of a tree?(252),How does the human auditory system work?(900),No
How does oil get from the ground to a gas station?(425),Describe how forest fires can negatively affect animals(1142),No
How does a virus cause disease?(384),How does a coal-powered power station generate electricity?(823),No
How is a white dwarf star formed?(1096),Describe the process of the greenhouse effect(701),No
How does a virus cause disease?(384),How do rings form inside the trunk of a tree?(252),No
Describe the lifecycle of a butterfly(656),What happens during erosion by the ocean?(935),No
How does rain form?(43),What happens during a vocanic eruption?(930),No
What happens during photosynthesis?(112),Describe how the pancreas works(628),No
Describe how oxygen reaches cells in the body(619),Describe the process of fossilization(472),No
How does a coal-powered power station generate electricity?(392),How do plants obtain and use water?(369),No
How does coal contribute to acid rain?(977),Describe the life cycle of a plant(648),No
How do plants obtain and use water?(779),What causs a volcano to erupt?(920),No
How does a desalination plant remove salt from water?(1295),How do owls hunt at night?(1138),No
Describe the process of global warming(475),Describe how acid rain can affect the environment.(364),No
How does rain occur?(879),How do earthquakes occur?(52),No
What happens during the water cycle?(948),How do animals help plants disburse seeds?(214),No
How does coal get from the ground to a power station?(422),Describe the process of breathing.(256),No
How does rain occur?(880),How do animals help plants disburse seeds?(739),No
Describe the process of digestion(489),How do animals help plants disburse seeds?(739),No
How does a coal-powered power station generate electricity?(393),How does lightning occur?(1075),No
Describe the life cycle of a bird(635),How do plants use animals to help disburse their seeds?(784),No
How do lungs work?(539),Describe the process of evaporation(671),No
How does echolocation work?(232),How does rain occur?(212),No
How do you make ice cubes?(287),Describe the steps in launching a satelite into space.(1062),No
Describe how acid rain can affect the environment.(366),How does lightning occur?(1075),No
How do you get water to boil?(436),Describe the process by which hurricanes form.(1128),No
How do bees pollinate plants?(443),Describe the life cycle of a frog(516),No
Describe the process of fossilization(676),What happens during erosion by the ocean?(936),Sub analogy
How do rings form inside the trunk of a tree?(252),What causs a volcano to erupt?(920),No
What happens during respiration?(293),Describe the life cycle of a plant(648),No
What happens during the water cycle?(948),How do solar eclipses occur?(511),No
How are clouds formed?(222),Describe the process of fossilization(675),No
Describe the process of fossilization(675),Describe the life cycle of a frog(515),No
What happens during weathering?(316),How does the human auditory system work?(412),No
Describe the life cycle of a bird(637),Describe the process of digestion(489),No
What do lungs do?(924),Describe how the liver works(548),No
How does a coal-fired power plant work?(1080),Describe the process of digestion(489),No
How do the lungs work?(794),What happens during photosynthesis?(940),No
Describe how perspiration helps to keep someone cool.(441),How does a dishwasher work?(1058),No
Describe the typical steps involved in camping.(1085),How does a steam engine work?(563),No
What causes an earthquake to occur?(919),What happens during photosynthesis?(940),No
