BaseParagraphTopic,TargetParagraphTopic,Score,isAnalogy,comment
How does a battery-operated sewing machine work?(817),Describe how the pancreas works(627),0,0,
How does a battery-operated sewing machine work?(817),How do the lungs work?(141),0,0,
How does a battery-operated sewing machine work?(817),Describe how to make pancakes.(1291),0,0,
How does a battery-operated sewing machine work?(817),Describe how the pancreas works(551),0,0,
How does a battery-operated sewing machine work?(817),How do plants use animals to help disburse their seeds?(784),0,0,
How does a battery-operated sewing machine work?(817),What happens during the water cycle?(948),0,0,
How does a battery-operated sewing machine work?(817),How do caverns form?(747),0,0,
How does a battery-operated sewing machine work?(817),How are clouds formed?(720),0,0,
How does a battery-operated sewing machine work?(817),Describe how forest fires can negatively affect animals(1143),0,0,
How does a battery-operated sewing machine work?(817),How does blood remove waste from the human body?(536),0,0,
How does a battery-operated sewing machine work?(817),Describe the life cycle of a bird(522),0,0,
How does a battery-operated sewing machine work?(817),How do you make ice cubes?(287),0,0,
How does a battery-operated sewing machine work?(817),What happens during weathering?(318),0,0,
How does a battery-operated sewing machine work?(817),Describe the life cycle of a fish(640),0,0,
How does a battery-operated sewing machine work?(817),What do lungs do?(132),0,0,
How does a battery-operated sewing machine work?(817),How does sediment turn into sedimentary rock?(61),0,0,
How does a battery-operated sewing machine work?(817),How does mold grow on bread?(867),0,0,
How does a battery-operated sewing machine work?(817),What happens during a vocanic eruption?(48),0,0,
How does a battery-operated sewing machine work?(817),Describe the life cycle of a frog(641),0,0,
How does a battery-operated sewing machine work?(817),Describe the process of evaporation(127),0,0,
How does a battery-operated sewing machine work?(817),Describe the process of hibernation(494),0,0,
How does a battery-operated sewing machine work?(817),How does the internal combustion engine work?(1208),0,0,
How does a battery-operated sewing machine work?(817),Describe the process of photosynthesis(480),0,0,
How does a battery-operated sewing machine work?(817),How do bees pollinate plants?(443),0,0,
How does a battery-operated sewing machine work?(817),How do you make ice cubes?(286),0,0,
How does a battery-operated sewing machine work?(817),Describe the life cycle of a bird(523),0,0,
How does a battery-operated sewing machine work?(817),How do rings form inside the trunk of a tree?(251),0,0,
How does a battery-operated sewing machine work?(817),How is oil formed?(1156),0,0,
How does a battery-operated sewing machine work?(817),Describe how forest fires can negatively affect animals(1142),0,0,
How does a battery-operated sewing machine work?(817),How does an eagle get food?(1195),0,0,
How does a battery-operated sewing machine work?(817),How are clouds formed?(721),0,0,
How does a battery-operated sewing machine work?(817),How do animals help plants disburse seeds?(737),0,0,
How does a battery-operated sewing machine work?(817),How does a water purifier work?(1183),0,0,
How does a battery-operated sewing machine work?(817),How is oil formed?(1154),0,0,
How does a battery-operated sewing machine work?(817),Describe the life cycle of a bird(521),0,0,
How does a battery-operated sewing machine work?(817),Describe the process of pollution causing bad effects on the enviroinment.(290),0,0,
How does a battery-operated sewing machine work?(817),Describe how perspiration helps to keep someone cool.(441),0,0,
How does a battery-operated sewing machine work?(817),Describe the life cycle of a frog(643),0,0,
How does a battery-operated sewing machine work?(817),Describe the life cycle of a frog(642),0,0,
How does a battery-operated sewing machine work?(817),Describe the lifecycle of a butterfly(656),0,0,
