BaseParagraphTopic,TargetParagraphTopic,Score,isAnalogy,"Analogy Type (0=Far, 1=Close, 2=Self, 3=Sub)",,,,,,,,,,,
How does a coal-powered power station generate electricity?(392),Describe the process of using coal to heat a house.(960),44.478,1,2,,,,,,,,,,,
Describe the process of photosynthesis(687),What happens during photosynthesis?(940),41.868,1,2,,,,,,,,,,,
Describe the process of photosynthesis(686),Describe the process of photosynthesis(687),40.276,1,2,,,,,,,,,,,
How do plants obtain and use water?(779),What happens during photosynthesis?(938),39.7845,1,1,,,,,,,,,,,
How do owls hunt at night?(1137),How do owls hunt at night?(1136),35.718,1,2,,,,,,,,,,,
What happens during photosynthesis?(112),What happens during photosynthesis?(940),35.079,1,2,,,,,,,,,,,
How does a nuclear power plant work?(1224),How does coal get from the ground to a power station?(852),34.869,1,0,,,analogies,no analogies,,,,self analogies,sub analogies,close analogies,far analogies
Describe the process of digestion(490),How does the digestive system work?(1158),33.53,1,2,,,79,21,,,,29,16,18,16
Describe the steps in mitosis.(1169),Describe the steps in mitosis.(1170),33.246,1,2,,,,,,,,,,,
Describe how the liver works(548),How do plants obtain and use water?(367),33.1475,1,3,,,,,,,,,,,
How do you make ice cubes?(287),How do you make ice cubes?(1004),32.85,1,2,,,,,,,,,,,
How does a coal-powered power station generate electricity?(392),How does a steam engine work?(565),32.58,1,1,,,,,,,,,,,
Describe how to make pancakes.(1291),Describe how to make a cake.(1014),32.46,1,1,,,,,,,,,,,
How does recycling work?(264),How does a virus cause disease?(830),32.03,1,3,,,,,,,,,,,
What happens during photosynthesis?(939),Describe the process of photosynthesis(687),31.5,1,2,,,,,,,,,,,
How do green plants get the energy they need?(330),What happens during photosynthesis?(938),30.128,1,1,,,,,,,,,,,
How does the human auditory system work?(900),How does coal get from the ground to a power station?(852),29.323,0,,,,,,,,,,,,
Describe how to make pancakes.(1290),Describe how to make pancakes.(1291),28.338,1,2,,,,,,,,,,,
Describe the process of recycling an aluminum can(157),How does recycling work?(882),28.161,1,1,,,,,,,,,,,
How does oil get from the ground to a gas station?(425),How does oil get from the ground to a gas station?(873),27.495,1,2,,,,,,,,,,,
What happens during photosynthesis?(112),How does recycling work?(882),26.697,1,0,,,,,,,,,,,
How does a nuclear power plant work?(1224),Describe the process of photosynthesis(686),26.57,1,0,,,,,,,,,,,
How do plants obtain and use water?(779),Describe the process of photosynthesis(687),26.385,1,1,,,,,,,,,,,
How does a virus cause disease?(830),How does a virus infect an animal?(834),26.2375,1,1,,,,,,,,,,,
How do you use a dishwasher?(1046),How do you make ice cubes?(287),25.753,1,3,,,,,,,,,,,
How does rain occur?(211),How do caverns form?(31),25.599,1,3,,,,,,,,,,,
How does a solar panel work?(1148),How does the human auditory system work?(413),25.361,1,0,,,,,,,,,,,
What happens during photosynthesis?(112),Describe how kidneys work(616),25.32,0,,,,,,,,,,,,
How do plants obtain and use water?(779),Describe how the liver works(548),25.104,1,3,,,,,,,,,,,
What happens during weathering?(318),How does weathering cause rocks to break apart?(315),24.295,1,2,,,,,,,,,,,
Describe the typical steps in making coffee.(1294),Describe the typical steps in making coffee.(1293),24.03,1,2,,,,,,,,,,,
How does a nuclear power plant work?(1224),Describe the process of photosynthesis(687),23.926,1,0,,,,,,,,,,,
What happens during photosynthesis?(112),How does a virus infect an animal?(834),23.87,0,,,,,,,,,,,,
Describe the typical steps in making coffee.(1293),How do you use a dishwasher?(1048),23.8575,1,0,,,,,,,,,,,
How does recycling work?(882),How does the human auditory system work?(413),23.815,0,,,,,,,,,,,,
How do green plants get the energy they need?(330),Describe the process of photosynthesis(687),23.716,1,1,,,,,,,,,,,
How does rain form?(876),How does coal get from the ground to a power station?(852),23.571,0,,,,,,,,,,,,
What happens during the water cycle?(13),How do dams help stop flooding?(229),23.565,1,3,,,,,,,,,,,
How do the lungs work?(139),Describe how oxygen reaches cells in the body(617),23.5235,1,2,,,,,,,,,,,
Describe the life cycle of a human(524),Describe the life cycle of a human(645),23.52,1,2,,,,,,,,,,,
What happens during the rock cycle(448),How do mountains form?(1104),23.505,1,3,,,,,,,,,,,
How does rust form?(1049),How does coal contribute to acid rain?(978),23.36,1,0,,,,,,,,,,,
What happens during photosynthesis?(112),How does recycling work?(264),23.31,1,0,,,,,,,,,,,
How do the lungs work?(794),What happens during photosynthesis?(112),23.165,0,,,,,,,,,,,,
What happens during the water cycle?(13),Describe the process of evaporation(671),23.1245,1,3,,,,,,,,,,,
How does the body control its blood sugar level?(555),Describe the process of perspiration(496),23.052,1,0,,,,,,,,,,,
What happens during photosynthesis?(938),Describe how the liver works(548),23.0225,1,3,,,,,,,,,,,
How do you use a dishwasher?(1046),How do you use a dishwasher?(1048),22.916,1,2,,,,,,,,,,,
How do plants obtain and use water?(779),How does a virus cause disease?(830),22.7425,0,,,,,,,,,,,,
What happens during the rock cycle(448),How does coal contribute to acid rain?(978),22.624,0,,,,,,,,,,,,
