BaseParagraphTopic,TargetParagraphTopic,Score,isAnalogy,"Analogy Type (0=Far, 1=Close, 2=Self, 3=Sub)",,,,,,,,,,
How does a coal-powered power station generate electricity?(392),Describe the process of using coal to heat a house.(960),13.4855,1,2,,,,,,,,,,
Describe how the pancreas works(627),How do forests form?(1217),10.974,1,3,,,,,,,,,,
How do forests form?(1217),Describe the life cycle of a plant.(1106),10.974,1,0,,,,,,,,,,
Describe the process of photosynthesis(686),Describe the process of photosynthesis(687),9.9505,1,2,,,,,,,,,,
Describe the life cycle of a plant(530),Describe the life cycle of a plant(647),9.9015,1,2,,,,,,,,,,
How does a virus cause disease?(830),How does a virus infect an animal?(834),9.6925,1,2,,,,,,,,,,
How do green plants get the energy they need?(330),What happens during photosynthesis?(938),9.6,1,1,,,,,,,,,,
Describe the life cycle of a plant(530),Describe the life cycle of a plant.(1107),9.5725,1,2,,,,,,,,,,
How does recycling work?(264),How does a virus cause disease?(830),9.47,1,3,,,analogies,,no analogies,,close analogies,far analogies,sub analogies,self analogies
Describe how the pancreas works(627),Describe the life cycle of a plant.(1106),9.316,0,,,,72,,28,,20,11,15,26
What happens during the water cycle?(15),How does rain form?(43),9,1,1,,,,,,,,,,
Describe the lifecycle of a butterfly(658),Describe the lifecycle of a butterfly(588),8.703,1,2,,,,,,,,,,
How is sediment transported across the Earth?(916),Describe the process of evaporation(671),8.4,0,,,,,,,,,,,
How do the lungs work?(140),What do lungs do?(925),8.27,1,2,,,,,,,,,,
Describe the process of using oil to heat a house.(1030),Describe the process of using oil to heat a house.(1028),8,1,2,,,,,,,,,,
How does rain form?(876),How does a solar panel work?(1148),8,0,,,,,,,,,,,
Describe the process of global warming(476),How is a black hole formed?(1258),8,1,3,,,,,,,,,,
How do the lungs work?(139),How does the human auditory system work?(412),8,1,3,,,,,,,,,,
What happens during photosynthesis?(938),How does insulin help the body?(1214),7.8275,1,0,,,,,,,,,,
How does a coal-fired power plant work?(1080),How does the human auditory system work?(413),7.671,1,3,,,,,,,,,,
What happens during the water cycle?(13),How does the body control its blood sugar level?(893),7.62,0,,,,,,,,,,,
How do caverns form?(747),What happens during a vocanic eruption?(48),7.602,0,,,,,,,,,,,
What happens during a vocanic eruption?(48),Describe how to make a cake.(1015),7.602,0,,,,,,,,,,,
What happens during a vocanic eruption?(48),Describe the process of using oil to heat a house.(1028),7.602,0,,,,,,,,,,,
What happens during a vocanic eruption?(48),How do animals help plants disburse seeds?(737),7.578,0,,,,,,,,,,,
What happens during a vocanic eruption?(48),How does a virus cause disease?(830),7.578,0,,,,,,,,,,,
What happens during the water cycle?(15),What happens during the water cycle?(14),7.5,1,2,,,,,,,,,,
What happens during the water cycle?(14),How does rain form?(43),7.5,1,1,,,,,,,,,,
What happens during the water cycle?(14),How does snow form?(56),7.5,1,1,,,,,,,,,,
Describe the process of recycling an aluminum can(157),Describe the process of recycling an aluminum can(699),7.5,1,2,,,,,,,,,,
What happens during photosynthesis?(939),Describe the process of photosynthesis(687),7.5,1,2,,,,,,,,,,
Describe the steps in mitosis.(1169),Describe the steps in mitosis.(1170),7.5,1,2,,,,,,,,,,
Describe the life cycle of a plant(531),Describe the life cycle of a human(645),7.5,1,0,,,,,,,,,,
How does a dishwasher work?(1060),How does a dishwasher work?(1058),7.5,1,2,,,,,,,,,,
How does a wind-powered power station generate electricity?(397),How does a steam engine work?(565),7.425,1,1,,,,,,,,,,
Describe how a message travels from one person to another over via telephone(1250),Describe how the pancreas works(627),7.398,0,,,,,,,,,,,
Describe how the pancreas works(626),How does coal get from the ground to a power station?(852),7.302,0,,,,,,,,,,,
How does rust form?(1049),How does coal contribute to acid rain?(978),7.26,1,0,,,,,,,,,,
What happens during a vocanic eruption?(931),How does a steam engine work?(565),7.25,1,3,,,,,,,,,,
Describe how the liver works(548),How do plants obtain and use water?(367),7.1925,1,3,,,,,,,,,,
What happens during the water cycle?(15),How are valleys formed?(22),7.19,1,3,,,,,,,,,,
Describe the process of perspiration(683),Describe how kidneys work(616),7.148,1,0,,,,,,,,,,
What happens during photosynthesis?(112),How does a virus infect an animal?(834),7.0975,0,,,,,,,,,,,
Describe how the pancreas works(627),How do greenhouse gases form?(996),7.0725,0,,,,,,,,,,,
What happens during a vocanic eruption?(48),How does a dishwasher work?(1059),7.068,0,,,,,,,,,,,
What happens during a vocanic eruption?(48),What causs a volcano to erupt?(920),7.052,1,2,,,,,,,,,,
How do plants obtain and use water?(779),What happens during photosynthesis?(938),7.035,1,1,,,,,,,,,,
Describe the typical steps in making coffee.(1294),Describe the typical steps in making coffee.(1293),7,1,2,,,,,,,,,,
What happens during the water cycle?(13),Describe the process of evaporation(671),7,1,3,,,,,,,,,,
What happens during weathering?(318),How does weathering cause rocks to break apart?(315),7,1,2,,,,,,,,,,
How are ravines formed?(64),How are valleys formed?(22),7,1,1,,,,,,,,,,
Describe the process of photosynthesis(687),How do plants obtain and use water?(367),7,1,1,,,,,,,,,,
Describe the life cycle of a human(644),Describe the life cycle of a rabbit(528),7,1,0,,,,,,,,,,
Describe the life cycle of a plant(649),Describe the life cycle of a rabbit(528),7,1,0,,,,,,,,,,
How does a solar panel work?(1148),How does the human auditory system work?(413),7,0,,,,,,,,,,,
Describe the life cycle of a plant(531),Describe the process of planting crops.(689),6.9875,1,1,,,,,,,,,,
How does a battery-operated sewing machine work?(817),How does the body control its blood sugar level?(893),6.984,0,,,,,,,,,,,
Describe how the pancreas works(627),Describe how the liver works(548),6.952,1,1,,,,,,,,,,
How does a coal-fired power plant work?(1080),Describe the process of evaporation(671),6.93,0,,,,,,,,,,,
Describe the life cycle of a plant(530),Describe the life cycle of a mushroom.(1065),6.9025,1,0,,,,,,,,,,
How does insulin help the body?(1214),How does the body control its blood sugar level?(893),6.865,1,1,,,,,,,,,,
How do bees make a hive?(1131),How does a solar panel work?(1148),6.85,0,,,,,,,,,,,
Describe how radioactive atoms decay(1151),Describe how oxygen reaches cells in the body(617),6.8225,0,,,,,,,,,,,
Describe the life cycle of a human(645),Describe the process of planting crops.(689),6.8,1,0,,,,,,,,,,
What happens during a vocanic eruption?(48),Describe the process by which hurricanes form.(1129),6.792,0,,,,,,,,,,,
What happens during the water cycle?(13),Describe how acid rain can affect the environment.(365),6.7575,0,,,,,,,,,,,
How do plants obtain and use water?(779),Describe how the liver works(548),6.6925,1,3,,,,,,,,,,
Describe how the pancreas works(627),Describe how bacteria can cause disease.(300),6.67,0,,,,,,,,,,,
Describe how the pancreas works(552),Describe how the pancreas works(626),6.61,1,2,,,,,,,,,,
How does coal get from the ground to a power station?(422),How does coal get from the ground to a power station?(852),6.6075,1,2,,,,,,,,,,
How do plants obtain and use water?(779),How do plants obtain and use water?(367),6.605,1,2,,,,,,,,,,
What happens during the water cycle?(15),How does snow form?(56),6.6025,1,1,,,,,,,,,,
What happens during the water cycle?(14),How are valleys formed?(22),6.6025,1,3,,,,,,,,,,
How do the lungs work?(140),What do lungs do?(924),6.5575,1,2,,,,,,,,,,
Describe how oxygen reaches cells in the body(618),What do lungs do?(925),6.35,1,2,,,,,,,,,,
How do caverns form?(746),How do bats use echolocation?(135),6.25,0,,,,,,,,,,,
What are the steps involved in growing a pumpkin?(1083),Describe the life cycle of a plant(649),6,1,1,,,,,,,,,,
What happens during the water cycle?(15),How does snow form?(892),6,1,1,,,,,,,,,,
What happens during the water cycle?(15),How does rain form?(45),6,1,1,,,,,,,,,,
What happens during the water cycle?(15),How does rain occur?(212),6,1,1,,,,,,,,,,
What happens during the water cycle?(14),How does rain form?(876),6,1,1,,,,,,,,,,
What happens during the water cycle?(14),What happens during photosynthesis?(113),6,0,,,,,,,,,,,
What happens during the water cycle?(14),How do caverns form?(31),6,1,3,,,,,,,,,,
How does a coal-powered power station generate electricity?(392),How does a coal-powered power station generate electricity?(823),6,1,2,,,,,,,,,,
How does a battery-operated sewing machine work?(225),How does recycling work?(264),6,0,,,,,,,,,,,
How do plants use animals to help disburse their seeds?(782),How does a nuclear power plant work?(1223),6,0,,,,,,,,,,,
How do plants obtain and use water?(779),How does a nuclear power plant work?(1224),6,1,3,,,,,,,,,,
How do plants obtain and use water?(779),Describe the process of photosynthesis(686),6,1,1,,,,,,,,,,
How do plants obtain and use water?(779),Describe the process of photosynthesis(687),6,1,1,,,,,,,,,,
Describe how oxygen reaches cells in the body(619),How do the lungs work?(139),6,1,2,,,,,,,,,,
How do bees make a hive?(1131),How does a virus cause disease?(830),6,0,,,,,,,,,,,
How do the lungs work?(140),How do lungs work?(770),6,1,2,,,,,,,,,,
What happens during the water cycle?(13),Describe the life cycle of a human(644),6,1,0,,,,,,,,,,
What happens during the water cycle?(13),What happens during photosynthesis?(113),6,0,,,,,,,,,,,
What happens during the water cycle?(13),What happens during the rock cycle(448),6,1,3,,,,,,,,,,
How does a steam engine work?(828),Describe the process of evaporation(671),6,1,3,,,,,,,,,,
How does oil get from the ground to a gas station?(425),How does oil get from the ground to a gas station?(873),6,1,2,,,,,,,,,,
