BaseParagraphTopic,TargetParagraphTopic,Score,isAnalogy,"Analogy Type (0=Far, 1=Close, 2=Self, 3=Sub)",,,,,,,,,,
How do the lungs work?(794),How do lungs work?(770),0.925,1,2,,,,,,,,,,
Describe the life cycle of a rabbit(652),Describe the life cycle of a rabbit(528),0.916,1,2,,,,,,,,,,
Describe how kidneys work(547),Describe how kidneys work(546),0.907,1,2,,,,,,,,,,
How do you make ice cubes?(807),How do you make ice cubes?(287),0.899,1,2,,,,,,,,,,
How do bees pollinate plants?(745),How do bees pollinate plants?(443),0.895,1,2,,,analogies,,no analogies,,close analogies,far analogies,self analogies,sub analogies
What happens during photosynthesis?(112),What happens during photosynthesis?(940),0.895,1,2,,,100,,0,,11,0,89,0
How does a coal-powered power station generate electricity?(391),How does a coal-powered power station generate electricity?(392),0.892,1,2,,,,,,,,,,
How does oil get from the ground to a gas station?(425),How does oil get from the ground to a gas station?(873),0.89,1,2,,,,,,,,,,
What do lungs do?(132),Describe the process of breathing.(256),0.888,1,2,,,,,,,,,,
Describe the process of digestion(490),Describe the process of digestion(489),0.887,1,2,,,,,,,,,,
How does a coal-fired power plant work?(1081),How does a steam engine work?(563),0.876,1,1,,,,,,,,,,
Describe how forest fires can negatively affect animals(1143),Describe how forest fires can negatively affect animals(1142),0.874,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(393),How does a coal-powered power station generate electricity?(821),0.87,1,2,,,,,,,,,,
Describe the process of using oil to heat a house.(1030),Describe the process of using oil to heat a house.(1028),0.869,1,2,,,,,,,,,,
How do bats use echolocation?(742),How do bats use echolocation?(135),0.868,1,2,,,,,,,,,,
How does a dishwasher work?(1060),How does a dishwasher work?(1058),0.868,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(391),How does coal get from the ground to a power station?(852),0.867,1,2,,,,,,,,,,
Describe the life cycle of a plant(647),Describe the life cycle of a plant(532),0.867,1,2,,,,,,,,,,
Describe the life cycle of a bird(636),Describe the life cycle of a bird(523),0.864,1,2,,,,,,,,,,
Describe the life cycle of a bird(637),Describe the life cycle of a bird(636),0.862,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(393),How does a steam engine work?(563),0.862,1,1,,,,,,,,,,
How does a coal-powered power station generate electricity?(392),How does coal get from the ground to a power station?(852),0.86,1,2,,,,,,,,,,
Describe the process of using coal to heat a house.(961),How does a steam engine work?(563),0.859,1,1,,,,,,,,,,
Describe how kidneys work(547),How do kidneys filter blood?(1298),0.858,1,2,,,,,,,,,,
How does snow form?(57),How does rain form?(45),0.858,1,1,,,,,,,,,,
How does a coal-powered power station generate electricity?(393),Describe the process of using coal to heat a house.(961),0.857,1,2,,,,,,,,,,
Describe the process of recycling an aluminum can(157),Describe the process of recycling an aluminum can(699),0.856,1,2,,,,,,,,,,
Describe the lifecycle of a butterfly(587),Describe the lifecycle of a butterfly(588),0.856,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(391),How does a coal-fired power plant work?(1081),0.854,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(391),How does a steam engine work?(563),0.853,1,1,,,,,,,,,,
What do lungs do?(132),Describe the process of breathing.(257),0.853,1,2,,,,,,,,,,
What happens during weathering?(317),What happens during weathering?(950),0.849,1,2,,,,,,,,,,
Describe the process of photosynthesis(686),Describe the process of photosynthesis(687),0.847,1,2,,,,,,,,,,
What happens during the water cycle?(14),What happens during the water cycle?(13),0.845,1,2,,,,,,,,,,
Describe the process of breathing.(256),Describe the process of breathing.(257),0.844,1,2,,,,,,,,,,
Describe the lifecycle of a butterfly(587),Describe the lifecycle of a butterfly(658),0.84,1,2,,,,,,,,,,
Describe the life cycle of a bird(637),Describe the life cycle of a bird(523),0.839,1,2,,,,,,,,,,
How do you make ice cubes?(807),How do you make ice cubes?(1004),0.838,1,2,,,,,,,,,,
How does an electromagnet work?(844),How does an electromagnet work?(842),0.837,1,2,,,,,,,,,,
How does a coal-fired power plant work?(1081),How does a coal-powered power station generate electricity?(821),0.836,1,2,,,,,,,,,,
What happens during weathering?(318),How does weathering cause rocks to break apart?(315),0.836,1,2,,,,,,,,,,
Describe the life cycle of a frog(642),Describe the life cycle of a frog(515),0.834,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(391),Describe the process of using coal to heat a house.(961),0.833,1,2,,,,,,,,,,
How does a coal-fired power plant work?(1080),How does a coal-powered power station generate electricity?(823),0.833,1,2,,,,,,,,,,
Describe the life cycle of a bird(635),Describe the life cycle of a bird(523),0.832,1,2,,,,,,,,,,
How do you make ice cubes?(287),How do you make ice cubes?(1004),0.831,1,2,,,,,,,,,,
How does an electromagnet work?(280),How does an electromagnet work?(844),0.83,1,2,,,,,,,,,,
How do you make ice cubes?(807),How do you make ice cubes?(286),0.829,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(392),How does a steam engine work?(563),0.826,1,1,,,,,,,,,,
Describe how the liver works(624),Describe how the liver works(548),0.825,1,2,,,,,,,,,,
What causs a volcano to erupt?(7),What happens during a vocanic eruption?(931),0.825,1,2,,,,,,,,,,
What causs a volcano to erupt?(921),How do minerals form?(51),0.822,1,1,,,,,,,,,,
How does a coal-powered power station generate electricity?(391),How does a coal-powered power station generate electricity?(393),0.819,1,2,,,,,,,,,,
What causs a volcano to erupt?(7),What happens during a vocanic eruption?(930),0.818,1,2,,,,,,,,,,
How does coal get from the ground to a power station?(852),How does a steam engine work?(563),0.818,1,1,,,,,,,,,,
How do the lungs work?(139),How do lungs work?(771),0.818,1,2,,,,,,,,,,
Describe the life cycle of a frog(641),Describe the life cycle of a frog(643),0.817,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(392),Describe the process of using coal to heat a house.(961),0.816,1,2,,,,,,,,,,
What causs a volcano to erupt?(7),What causs a volcano to erupt?(922),0.816,1,2,,,,,,,,,,
Describe the process of breathing.(256),How do the lungs work?(139),0.816,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(392),How does a coal-powered power station generate electricity?(823),0.815,1,2,,,,,,,,,,
How does a coal-fired power plant work?(1080),How does a steam engine work?(563),0.814,1,1,,,,,,,,,,
How does echolocation work?(232),How do bats use echolocation?(742),0.813,1,2,,,,,,,,,,
Describe the process of using coal to heat a house.(961),How does a coal-powered power station generate electricity?(823),0.813,1,1,,,,,,,,,,
How does a steam engine work?(563),How does a coal-powered power station generate electricity?(821),0.813,1,1,,,,,,,,,,
How does a coal-powered power station generate electricity?(393),How does a coal-fired power plant work?(1081),0.811,1,2,,,,,,,,,,
Describe how kidneys work(547),Describe how kidneys work(616),0.81,1,2,,,,,,,,,,
How do you use a dishwasher?(1046),How do you use a dishwasher?(1048),0.81,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(393),How does coal get from the ground to a power station?(852),0.809,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(393),How does a coal-fired power plant work?(1080),0.808,1,2,,,,,,,,,,
Describe how kidneys work(546),How do kidneys filter blood?(1298),0.808,1,2,,,,,,,,,,
